id;discount;price;start_date;duration;cancled;billing_customer_id;booking_code
1;0.9;96105;2022-11-17;2;false;1;fRCT45nXXb
2;0.9;87284;2022-11-17;3;false;2;pteXLOAHqW
3;0.9;49138;2022-11-16;4;false;3;Jtw01rmej8
4;0.9;25552;2022-11-16;1;false;4;RNNexkGpqw
5;0.9;49702;2022-11-17;2;false;5;29GnTbiBsA
6;0.9;68002;2022-11-16;3;true;1;d0JfKq5QGT
7;0.9;16182;2022-11-16;5;true;2;SvMjRs3TDm
8;0.9;37349;2022-11-16;2;true;7;xYOZscW2lI
9;0.9;81751;2022-11-17;1;false;5;29jsH6TvL3
10;0.9;43848;2022-11-16;2;true;9;2OJw5YCTvd
